TRINITY_DN0_c12_g1	GO:0003674,GO:0005085,GO:0007165,GO:0008150,GO:0009987,GO:0050789,GO:0050794,GO:0065007,GO:0098772
TRINITY_DN10004_c0_g1	GO:0003674,GO:0005215,GO:0005488,GO:0005515,GO:0005575,GO:0006810,GO:0008150,GO:0016020,GO:0022857,GO:0051179,GO:0051234,GO:0055085
TRINITY_DN10006_c1_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN100127_c0_g1	GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN100148_c0_g1	GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0008150,GO:0015267,GO:0016020,GO:0022803,GO:0022857,GO:0051179,GO:0051234,GO:0055085
TRINITY_DN10016_c0_g1	GO:0003674,GO:0003824,GO:0016787
TRINITY_DN10017_c0_g1	GO:0000049,GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN1001_c0_g2	GO:0003674,GO:0003824,GO:0005575,GO:0006464,GO:0006486,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044699,GO:0044710,GO:0044763,GO:0070085,GO:0071704,GO:1901564
TRINITY_DN10020_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035556,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0050789,GO:0050794,GO:0065007,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN10023_c0_g2	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN10024_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005515,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN10025_c0_g1	GO:0003674,GO:0004857,GO:0005488,GO:0005515,GO:0030234,GO:0030414,GO:0061134,GO:0098772
TRINITY_DN100282_c0_g1	GO:0003674,GO:0003676,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN100288_c0_g1	GO:0003674,GO:0003824,GO:0008150,GO:0008152,GO:0016491,GO:0044699,GO:0044710,GO:0055114
TRINITY_DN100288_c0_g2	GO:0003674,GO:0003824,GO:0005488,GO:0008150,GO:0008152,GO:0009055,GO:0016491,GO:0043167,GO:0043169,GO:0044699,GO:0044710,GO:0046872,GO:0051536,GO:0051540,GO:0055114
TRINITY_DN10029_c0_g1	GO:0003674,GO:0003824,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017111
TRINITY_DN100333_c0_g1	GO:0003674,GO:0003824,GO:0003839,GO:0006518,GO:0006575,GO:0006749,GO:0006751,GO:0006790,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009987,GO:0016740,GO:0016746,GO:0016755,GO:0034641,GO:0042219,GO:0043171,GO:0043603,GO:0044237,GO:0044248,GO:0044273,GO:0071704,GO:1901564,GO:1901565,GO:1901575
TRINITY_DN100343_c1_g1	GO:0003352,GO:0008150,GO:0032879,GO:0032886,GO:0050789,GO:0050794,GO:0051270,GO:0060632,GO:0065007
TRINITY_DN10034_c0_g1	GO:0003674,GO:0005198,GO:0005488,GO:0005515,GO:0005575,GO:0006810,GO:0006886,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016192,GO:0030117,GO:0032991,GO:0033036,GO:0042886,GO:0043234,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0071702,GO:0071705,GO:0098796
TRINITY_DN100352_c0_g2	GO:0000030,GO:0003674,GO:0003824,GO:0016740,GO:0016757,GO:0016758
TRINITY_DN1003_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN10044_c0_g1	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0005488,GO:0005525,GO:0017076,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN100452_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN10045_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004672,GO:0005488,GO:0005524,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017076,GO:0019538,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0036211,GO:0043167,GO:0043168,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0071704,GO:0097159,GO:0097367,GO:1901265,GO:1901363,GO:1901564
TRINITY_DN100487_c1_g1	GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360
TRINITY_DN10048_c0_g1	GO:0003674,GO:0004871,GO:0004872,GO:0004888,GO:0004930,GO:0005575,GO:0007165,GO:0007186,GO:0008150,GO:0009987,GO:0016021,GO:0031224,GO:0038023,GO:0044425,GO:0050789,GO:0050794,GO:0060089,GO:0065007,GO:0099600
TRINITY_DN100490_c0_g1	GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0007165,GO:0008081,GO:0008150,GO:0009987,GO:0016787,GO:0016788,GO:0042578,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN1004_c0_g1	GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0005488,GO:0005515,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0008380,GO:0009987,GO:0016070,GO:0016071,GO:0016787,GO:0017069,GO:0017070,GO:0030623,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070011,GO:0070122,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN100524_c0_g3	GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360
TRINITY_DN100537_c0_g1	GO:0000166,GO:0003674,GO:0003824,GO:0004812,GO:0005488,GO:0005524,GO:0006082,GO:0006139,GO:0006399,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016874,GO:0016875,GO:0016876,GO:0017076,GO:0019752,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0034641,GO:0034660,GO:0035639,GO:0036094,GO:0043038,GO:0043039,GO:0043167,GO:0043168,GO:0043170,GO:0043436,GO:0044237,GO:0044238,GO:0044260,GO:0044281,GO:0044699,GO:0044710,GO:0044763,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901564
TRINITY_DN100539_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN10053_c0_g1	GO:0000166,GO:0003674,GO:0003676,GO:0003677,GO:0003678,GO:0003824,GO:0004386,GO:0004518,GO:0004527,GO:0005488,GO:0005524,GO:0006139,GO:0006259,GO:0006260,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009987,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0034641,GO:0034645,GO:0035639,GO:0036094,GO:0043138,GO:0043167,GO:0043168,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097159,GO:0097367,GO:1901265,GO:1901360,GO:1901363,GO:1901576
TRINITY_DN100553_c0_g1	GO:0003674,GO:0005488,GO:0005539,GO:0005540,GO:0007155,GO:0008150,GO:0022610,GO:0031406,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0097367
TRINITY_DN100565_c0_g4	GO:0003674,GO:0003824,GO:0016491,GO:0016614,GO:0016616,GO:0047834
TRINITY_DN10057_c2_g1	GO:0003674,GO:0005488,GO:0005515,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN1005_c1_g1	GO:0003674,GO:0005488,GO:0043167,GO:0043169,GO:0046872
TRINITY_DN1005_c22_g1	GO:0000988,GO:0000989,GO:0003674,GO:0003712,GO:0005488,GO:0005515,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:1903506,GO:2000112,GO:2001141
TRINITY_DN10061_c0_g2	GO:0006807,GO:0008150,GO:0008152
TRINITY_DN100638_c0_g1	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN100638_c0_g2	GO:0003674,GO:0005488,GO:0005515
TRINITY_DN100643_c1_g1	GO:0000166,GO:0003674,GO:0005488,GO:0005524,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN10065_c1_g1	GO:0003674,GO:0005488,GO:0005515,GO:0007165,GO:0008150,GO:0008289,GO:0009987,GO:0050789,GO:0050794,GO:0065007
TRINITY_DN100724_c0_g1	GO:0000796,GO:0005575,GO:0006323,GO:0006996,GO:0007076,GO:0008150,GO:0009987,GO:0016043,GO:0022402,GO:0030261,GO:0032991,GO:0043234,GO:0044422,GO:0044424,GO:0044427,GO:0044446,GO:0044464,GO:0044815,GO:0051276,GO:0071103,GO:0071840,GO:1903047
TRINITY_DN100736_c0_g1	GO:0003674,GO:0005215,GO:0005575,GO:0006810,GO:0006811,GO:0006820,GO:0008150,GO:0008272,GO:0008509,GO:0015075,GO:0015103,GO:0015116,GO:0015698,GO:0016021,GO:0022857,GO:0022891,GO:0022892,GO:0031224,GO:0044425,GO:0044699,GO:0044765,GO:0051179,GO:0051234,GO:0072348,GO:1901682,GO:1902578
TRINITY_DN100738_c0_g1	GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0015074,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360
TRINITY_DN10075_c0_g1	GO:0000166,GO:0003674,GO:0005488,GO:0005515,GO:0005524,GO:0006928,GO:0007017,GO:0007018,GO:0008017,GO:0008092,GO:0008150,GO:0009987,GO:0015631,GO:0017076,GO:0030554,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0044699,GO:0044763,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN100770_c0_g1	GO:0003674,GO:0003824,GO:0003950,GO:0016740,GO:0016757,GO:0016763
TRINITY_DN100778_c0_g1	GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0005488,GO:0097159,GO:1901363
TRINITY_DN10077_c5_g1	GO:0003674,GO:0005488,GO:0008289
TRINITY_DN100782_c0_g1	GO:0003674,GO:0003824,GO:0005488,GO:0008270,GO:0016787,GO:0016810,GO:0016814,GO:0043167,GO:0043169,GO:0046872,GO:0046914
TRINITY_DN100784_c0_g1	GO:0000166,GO:0001882,GO:0001883,GO:0003674,GO:0003824,GO:0003924,GO:0005488,GO:0005525,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0035639,GO:0036094,GO:0043167,GO:0043168,GO:0097159,GO:0097367,GO:1901265,GO:1901363
TRINITY_DN1007_c2_g1	GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005634,GO:0005737,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0016070,GO:0016071,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0097159,GO:1901360,GO:1901363
TRINITY_DN100806_c0_g1	GO:0003674,GO:0005488,GO:0005515,GO:0046983
TRINITY_DN10083_c1_g1	GO:0006461,GO:0008150,GO:0009987,GO:0016043,GO:0022607,GO:0034622,GO:0043623,GO:0043933,GO:0065003,GO:0070070,GO:0070071,GO:0070072,GO:0071822,GO:0071840
TRINITY_DN100928_c0_g1	GO:0003674,GO:0003824,GO:0008146,GO:0016740,GO:0016782
